BBB Time,Weeks,Secs,,,,,,,
26:49.7,2156,513345600,,0.207175926,0.1,,,,
26:49.8,2156,513345700,,0.024305556,0.1,,,,
26:49.9,2156,513345800,,0.111111111,0.1,,,,
26:50.0,2156,513345900,,0.114583333,0.1,,,,
26:50.1,2156,513346000,,0.121527778,0.1,,,,
26:50.2,2156,513346100,,0.112268519,0.1,,,,
26:50.3,2156,513346200,,0.115740741,0.1,,,,
26:50.3,2156,513346300,,0.111111111,0.1,,,,
26:50.5,2156,513346400,,0.118055556,0.1,,,,
26:50.5,2156,513346500,,0.113425926,0.1,,,,
26:50.6,2156,513346600,,0.114583333,0.1,,,,
26:50.7,2156,513346700,,0.113425926,0.1,,,,
26:50.8,2156,513346800,,0.115740741,0.1,,,,
26:50.9,2156,513346900,,0.114583333,0.1,,,,
26:51.0,2156,513347000,,0.116898148,0.1,,,,
26:51.1,2156,513347100,,0.116898148,0.1,,,,
26:51.2,2156,513347200,,0.115740741,0.1,,,,
26:51.3,2156,513347300,,0.113425926,0.1,,,,
26:51.4,2156,513347400,,0.114583333,0.1,,,,
26:51.5,2156,513347500,,0.114583333,0.1,,,,
26:51.7,2156,513347600,,0.210648148,0.1,,,,
26:51.7,2156,513347700,,0.023148148,0.1,,,,
26:51.8,2156,513347800,,0.114583333,0.1,,,,
26:51.9,2156,513347900,,0.112268519,0.1,,,,
26:52.0,2156,513348000,,0.12037037,0.1,,,,
26:52.1,2156,513348100,,0.113425926,0.1,,,,
26:52.2,2156,513348200,,0.114583333,0.1,,,,
26:52.3,2156,513348300,,0.112268519,0.1,,,,
26:52.4,2156,513348400,,0.114583333,0.1,,,,
26:52.5,2156,513348500,,0.115740741,0.1,,,,
26:52.6,2156,513348600,,0.116898148,0.1,,,,
26:52.7,2156,513348700,,0.113425926,0.1,,,,
26:52.8,2156,513348800,,0.114583333,0.1,,,,
26:52.9,2156,513348900,,0.115740741,0.1,,,,
26:53.0,2156,513349000,,0.115740741,0.1,,,,
26:53.1,2156,513349100,,0.118055556,0.1,,,,
26:53.2,2156,513349200,,0.114583333,0.1,,,,
26:53.3,2156,513349300,,0.112268519,0.1,,,,
26:53.4,2156,513349400,,0.115740741,0.1,,,,
26:53.5,2156,513349500,,0.114583333,0.1,,,,
26:53.7,2156,513349600,,0.211805556,0.1,,,,
26:53.7,2156,513349700,,0.021990741,0.1,,,,
26:53.8,2156,513349800,,0.114583333,0.1,,,,
26:53.9,2156,513349900,,0.113425926,0.1,,,,
26:54.0,2156,513350000,,0.114583333,0.1,,,,
26:54.1,2156,513350100,,0.113425926,0.1,,,,
26:54.2,2156,513350200,,0.114583333,0.1,,,,
26:54.3,2156,513350300,,0.115740741,0.1,,,,
26:54.4,2156,513350400,,0.114583333,0.1,,,,
26:54.5,2156,513350500,,0.12037037,0.1,,,,
26:54.6,2156,513350600,,0.111111111,0.1,,,,
26:54.7,2156,513350700,,0.114583333,0.1,,,,
26:54.8,2156,513350800,,0.114583333,0.1,,,,
26:54.9,2156,513350900,,0.115740741,0.1,,,,
26:55.0,2156,513351000,,0.118055556,0.1,,,,
26:55.1,2156,513351100,,0.112268519,0.1,,,,
26:55.2,2156,513351200,,0.114583333,0.1,,,,
26:55.3,2156,513351300,,0.115740741,0.1,,,,
26:55.4,2156,513351400,,0.114583333,0.1,,,,
26:55.5,2156,513351500,,0.116898148,0.1,,,,
26:55.7,2156,513351600,,0.210648148,0.1,,,,
26:55.7,2156,513351700,,0.039351852,0.1,,,,
26:55.8,2156,513351800,,0.097222222,0.1,,,,
26:55.9,2156,513351900,,0.113425926,0.1,,,,
26:56.0,2156,513352000,,0.115740741,0.1,,,,
26:56.1,2156,513352100,,0.12037037,0.1,,,,
26:56.2,2156,513352200,,0.111111111,0.1,,,,
26:56.3,2156,513352300,,0.113425926,0.1,,,,
26:56.4,2156,513352400,,0.113425926,0.1,,,,
26:56.5,2156,513352500,,0.118055556,0.1,,,,
26:56.6,2156,513352600,,0.118055556,0.1,,,,
26:56.7,2156,513352700,,0.112268519,0.1,,,,
26:56.8,2156,513352800,,0.118055556,0.1,,,,
26:56.9,2156,513352900,,0.109953704,0.1,,,,
26:57.0,2156,513353000,,0.116898148,0.1,,,,
26:57.1,2156,513353100,,0.118055556,0.1,,,,
26:57.2,2156,513353200,,0.112268519,0.1,,,,
26:57.3,2156,513353300,,0.114583333,0.1,,,,
26:57.4,2156,513353400,,0.118055556,0.1,,,,
26:57.5,2156,513353500,,0.112268519,0.1,,,,
26:57.7,2156,513353600,,0.210648148,0.1,,,,
26:57.7,2156,513353700,,0.023148148,0.1,,,,
26:57.8,2156,513353800,,0.113425926,0.1,,,,
26:57.9,2156,513353900,,0.111111111,0.1,,,,
26:58.0,2156,513354000,,0.118055556,0.1,,,,
26:58.1,2156,513354100,,0.113425926,0.1,,,,
26:58.2,2156,513354200,,0.114583333,0.1,,,,
26:58.3,2156,513354300,,0.115740741,0.1,,,,
26:58.4,2156,513354400,,0.114583333,0.1,,,,
26:58.5,2156,513354500,,0.12037037,0.1,,,,
26:58.6,2156,513354600,,0.111111111,0.1,,,,
26:58.7,2156,513354700,,0.115740741,0.1,,,,
26:58.8,2156,513354800,,0.118055556,0.1,,,,
26:58.9,2156,513354900,,0.112268519,0.1,,,,
26:59.0,2156,513355000,,0.115740741,0.1,,,,
26:59.1,2156,513355100,,0.113425926,0.1,,,,
26:59.2,2156,513355200,,0.114583333,0.1,,,,
26:59.3,2156,513355300,,0.115740741,0.1,,,,
26:59.4,2156,513355400,,0.114583333,0.1,,,,
26:59.5,2156,513355500,,0.121527778,0.1,,,,
26:59.7,2156,513355600,,0.204861111,0.1,,,,
26:59.7,2156,513355700,,0.023148148,0.1,,,,
26:59.8,2156,513355800,,0.113425926,0.1,,,,
26:59.9,2156,513355900,,0.113425926,0.1,,,,
27:00.0,2156,513356000,,0.114583333,0.1,,,,
27:00.1,2156,513356100,,0.115740741,0.1,,,,
27:00.2,2156,513356200,,0.114583333,0.1,,,,
27:00.3,2156,513356300,,0.114583333,0.1,,,,
27:00.4,2156,513356400,,0.115740741,0.1,,,,
27:00.5,2156,513356500,,0.115740741,0.1,,,,
27:00.6,2156,513356600,,0.114583333,0.1,,,,
27:00.7,2156,513356700,,0.116898148,0.1,,,,
27:00.8,2156,513356800,,0.115740741,0.1,,,,
27:00.9,2156,513356900,,0.113425926,0.1,,,,
27:01.0,2156,513357000,,0.114583333,0.1,,,,
27:01.1,2156,513357100,,0.115740741,0.1,,,,
27:01.2,2156,513357200,,0.114583333,0.1,,,,
27:01.3,2156,513357300,,0.115740741,0.1,,,,
27:01.4,2156,513357400,,0.114583333,0.1,,,,
27:01.5,2156,513357500,,0.115740741,0.1,,,,
27:01.7,2156,513357600,,0.210648148,0.1,,,,
27:01.7,2156,513357700,,0.023148148,0.1,,,,
27:01.8,2156,513357800,,0.111111111,0.1,,,,
27:01.9,2156,513357900,,0.115740741,0.1,,,,
27:02.0,2156,513358000,,0.115740741,0.1,,,,
27:02.1,2156,513358100,,0.113425926,0.1,,,,
27:02.2,2156,513358200,,0.116898148,0.1,,,,
27:02.3,2156,513358300,,0.115740741,0.1,,,,
27:02.4,2156,513358400,,0.113425926,0.1,,,,
27:02.5,2156,513358500,,0.115740741,0.1,,,,
27:02.6,2156,513358600,,0.114583333,0.1,,,,
27:02.7,2156,513358700,,0.116898148,0.1,,,,
27:02.8,2156,513358800,,0.114583333,0.1,,,,
27:02.9,2156,513358900,,0.113425926,0.1,,,,
27:03.0,2156,513359000,,0.116898148,0.1,,,,
27:03.1,2156,513359100,,0.113425926,0.1,,,,
27:03.2,2156,513359200,,0.115740741,0.1,,,,
27:03.3,2156,513359300,,0.114583333,0.1,,,,
27:03.4,2156,513359400,,0.115740741,0.1,,,,
27:03.5,2156,513359500,,0.115740741,0.1,,,,
27:03.7,2156,513359600,,0.210648148,0.1,,,,
27:03.7,2156,513359700,,0.023148148,0.1,,,,
27:03.8,2156,513359800,,0.112268519,0.1,,,,
27:03.9,2156,513359900,,0.115740741,0.1,,,,
27:04.0,2156,513360000,,0.114583333,0.1,,,,
27:04.1,2156,513360100,,0.113425926,0.1,,,,
27:04.2,2156,513360200,,0.115740741,0.1,,,,
27:04.3,2156,513360300,,0.114583333,0.1,,,,
27:04.4,2156,513360400,,0.115740741,0.1,,,,
27:04.5,2156,513360500,,0.115740741,0.1,,,,
27:04.6,2156,513360600,,0.114583333,0.1,,,,
27:04.7,2156,513360700,,0.114583333,0.1,,,,
27:04.8,2156,513360800,,0.119212963,0.1,,,,
27:04.9,2156,513360900,,0.112268519,0.1,,,,
27:05.0,2156,513361000,,0.115740741,0.1,,,,
27:05.1,2156,513361100,,0.113425926,0.1,,,,
27:05.2,2156,513361200,,0.114583333,0.1,,,,
27:05.3,2156,513361300,,0.115740741,0.1,,,,
27:05.4,2156,513361400,,0.115740741,0.1,,,,
27:05.5,2156,513361500,,0.115740741,0.1,,,,
27:05.7,2156,513361600,,0.210648148,0.1,,,,
27:05.7,2156,513361700,,0.039351852,0.1,,,,
27:05.8,2156,513361800,,0.09837963,0.1,,,,
27:05.9,2156,513361900,,0.112268519,0.1,,,,
27:06.0,2156,513362000,,0.115740741,0.1,,,,
27:06.1,2156,513362100,,0.113425926,0.1,,,,
27:06.2,2156,513362200,,0.115740741,0.1,,,,
27:06.3,2156,513362300,,0.114583333,0.1,,,,
27:06.4,2156,513362400,,0.114583333,0.1,,,,
27:06.5,2156,513362500,,0.116898148,0.1,,,,
27:06.6,2156,513362600,,0.113425926,0.1,,,,
27:06.7,2156,513362700,,0.115740741,0.1,,,,
27:06.8,2156,513362800,,0.114583333,0.1,,,,
27:06.9,2156,513362900,,0.116898148,0.1,,,,
27:07.0,2156,513363000,,0.114583333,0.1,,,,
27:07.1,2156,513363100,,0.114583333,0.1,,,,
27:07.2,2156,513363200,,0.114583333,0.1,,,,
27:07.3,2156,513363300,,0.118055556,0.1,,,,
27:07.4,2156,513363400,,0.114583333,0.1,,,,
27:07.5,2156,513363500,,0.113425926,0.1,,,,
27:07.6,2156,513363600,,0.211805556,0.1,,,,
27:07.7,2156,513363700,,0.023148148,0.1,,,,
27:07.8,2156,513363800,,0.112268519,0.1,,,,
27:07.9,2156,513363900,,0.115740741,0.1,,,,
27:08.0,2156,513364000,,0.113425926,0.1,,,,
27:08.1,2156,513364100,,0.114583333,0.1,,,,
27:08.2,2156,513364200,,0.114583333,0.1,,,,
27:08.3,2156,513364300,,0.119212963,0.1,,,,
27:08.4,2156,513364400,,0.113425926,0.1,,,,
27:08.5,2156,513364500,,0.113425926,0.1,,,,
27:08.6,2156,513364600,,0.114583333,0.1,,,,
27:08.7,2156,513364700,,0.115740741,0.1,,,,
27:08.8,2156,513364800,,0.116898148,0.1,,,,
27:08.9,2156,513364900,,0.114583333,0.1,,,,
27:09.0,2156,513365000,,0.118055556,0.1,,,,
27:09.1,2156,513365100,,0.111111111,0.1,,,,
27:09.2,2156,513365200,,0.114583333,0.1,,,,
27:09.3,2156,513365300,,0.115740741,0.1,,,,
27:09.4,2156,513365400,,0.114583333,0.1,,,,
27:09.5,2156,513365500,,0.115740741,0.1,,,,
27:09.6,2156,513365600,,0.21412037,0.1,,,,
