BBB Time,Weeks,Secs,,,,,,,,
02:08.8,2156,511857200,,,0.114583333,0.1,,,,
02:08.9,2156,511857300,,,0.114583333,0.1,,,,
02:09.0,2156,511857400,,,0.114583333,0.1,,,,
02:09.2,2156,511857500,,,0.15625,0.1,,,,
02:09.2,2156,511857600,,,0.074074074,0.1,,,,
02:09.3,2156,511857700,,,0.115740741,0.1,,,,
02:09.4,2156,511857800,,,0.114583333,0.1,,,,
02:09.5,2156,511857900,,,0.114583333,0.1,,,,
02:09.6,2156,511858000,,,0.116898148,0.1,,,,
02:09.7,2156,511858100,,,0.114583333,0.1,,,,
02:09.8,2156,511858200,,,0.113425926,0.1,,,,
02:09.9,2156,511858300,,,0.114583333,0.1,,,,
02:10.0,2156,511858400,,,0.115740741,0.1,,,,
02:10.1,2156,511858500,,,0.114583333,0.1,,,,
02:10.2,2156,511858600,,,0.118055556,0.1,,,,
02:10.3,2156,511858700,,,0.112268519,0.1,,,,
02:10.4,2156,511858800,,,0.114583333,0.1,,,,
02:10.5,2156,511858900,,,0.115740741,0.1,,,,
02:10.6,2156,511859000,,,0.116898148,0.1,,,,
02:10.7,2156,511859100,,,0.113425926,0.1,,,,
02:10.8,2156,511859200,,,0.114583333,0.1,,,,
02:10.9,2156,511859300,,,0.114583333,0.1,,,,
02:11.0,2156,511859400,,,0.116898148,0.1,,,,
02:11.2,2156,511859500,,,0.172453704,0.1,,,,
02:11.2,2156,511859600,,,0.055555556,0.1,,,,
02:11.3,2156,511859700,,,0.114583333,0.1,,,,
02:11.4,2156,511859800,,,0.115740741,0.1,,,,
02:11.5,2156,511859900,,,0.114583333,0.1,,,,
02:11.6,2156,511860000,,,0.119212963,0.1,,,,
02:11.7,2156,511860100,,,0.112268519,0.1,,,,
02:11.8,2156,511860200,,,0.113425926,0.1,,,,
02:11.9,2156,511860300,,,0.114583333,0.1,,,,
02:12.0,2156,511860400,,,0.115740741,0.1,,,,
02:12.1,2156,511860500,,,0.115740741,0.1,,,,
02:12.2,2156,511860600,,,0.113425926,0.1,,,,
02:12.3,2156,511860700,,,0.115740741,0.1,,,,
02:12.4,2156,511860800,,,0.114583333,0.1,,,,
02:12.5,2156,511860900,,,0.114583333,0.1,,,,
02:12.6,2156,511861000,,,0.116898148,0.1,,,,
02:12.7,2156,511861100,,,0.115740741,0.1,,,,
02:12.8,2156,511861200,,,0.113425926,0.1,,,,
02:12.9,2156,511861300,,,0.114583333,0.1,,,,
02:13.0,2156,511861400,,,0.114583333,0.1,,,,
02:13.1,2156,511861500,,,0.157407407,0.1,,,,
02:13.2,2156,511861600,,,0.072916667,0.1,,,,
02:13.3,2156,511861700,,,0.115740741,0.1,,,,
02:13.4,2156,511861800,,,0.114583333,0.1,,,,
02:13.5,2156,511861900,,,0.115740741,0.1,,,,
02:13.6,2156,511862000,,,0.115740741,0.1,,,,
02:13.7,2156,511862100,,,0.114583333,0.1,,,,
02:13.8,2156,511862200,,,0.114583333,0.1,,,,
02:13.9,2156,511862300,,,0.114583333,0.1,,,,
02:14.0,2156,511862400,,,0.114583333,0.1,,,,
02:14.1,2156,511862500,,,0.116898148,0.1,,,,
02:14.2,2156,511862600,,,0.113425926,0.1,,,,
02:14.3,2156,511862700,,,0.115740741,0.1,,,,
02:14.4,2156,511862800,,,0.114583333,0.1,,,,
02:14.5,2156,511862900,,,0.115740741,0.1,,,,
02:14.6,2156,511863000,,,0.115740741,0.1,,,,
02:14.7,2156,511863100,,,0.114583333,0.1,,,,
02:14.8,2156,511863200,,,0.115740741,0.1,,,,
02:14.9,2156,511863300,,,0.113425926,0.1,,,,
02:15.0,2156,511863400,,,0.114583333,0.1,,,,
02:15.1,2156,511863500,,,0.157407407,0.1,,,,
02:15.2,2156,511863600,,,0.074074074,0.1,,,,
02:15.3,2156,511863700,,,0.115740741,0.1,,,,
02:15.4,2156,511863800,,,0.113425926,0.1,,,,
02:15.5,2156,511863900,,,0.114583333,0.1,,,,
02:15.6,2156,511864000,,,0.116898148,0.1,,,,
02:15.7,2156,511864100,,,0.114583333,0.1,,,,
