BBB Time,Mag Vals,Lamor,,,Delta t,count,,threshold
24:54.5,28523.311,322,,,00:00.1,,,
24:54.6,28369.6,317,,,00:00.1,,,
24:54.7,28234.071,327,,,00:00.1,,,
24:54.8,28007.544,320,,,00:00.1,,,
24:54.9,27868.866,342,,,00:00.1,,,
24:55.0,27745.706,337,,,00:00.1,,,
24:55.1,27524.085,352,,,00:00.1,,,
24:55.2,27390.63,317,,,00:00.1,,,
24:55.3,27263.118,315,,,00:00.1,,,
24:55.4,27141.741,339,,,00:00.1,,,
24:55.5,26936.667,352,,,00:00.1,,,
24:55.6,26808.022,352,,,00:00.1,,,
24:55.7,26599.231,330,,,00:00.1,,,
24:55.8,26469.064,310,,,00:00.1,,,
24:55.9,26267.622,315,,,00:00.1,,,
24:56.0,26143.973,303,,,00:00.1,,,
24:56.1,25948.042,315,,,00:00.1,,,
24:56.2,25910.442,310,,,00:00.1,,,
24:56.3,25728.729,320,,,00:00.1,,,
24:56.4,25617.949,339,,,00:00.1,,,
24:56.5,25513.047,305,,,00:00.1,,,
24:56.6,25322.752,313,,,00:00.1,,,
24:56.7,25202.964,303,,,00:00.1,,,
24:56.8,25007.526,325,,,00:00.1,,,
24:56.9,24820.052,322,,,00:00.1,,,
24:57.0,24630.349,300,,,00:00.1,,,
24:57.1,24445.165,322,,,00:00.1,,,
24:57.2,24331.354,317,,,00:00.1,,,
24:57.3,24232.503,317,,,00:00.1,,,
24:57.4,24060.421,337,,,00:00.1,,,
24:57.5,23885.851,308,,,00:00.1,,,
24:57.6,23778.896,325,,,00:00.1,,,
24:57.7,23613.438,317,,,00:00.1,,,
24:57.8,23513.64,320,,,00:00.1,,,
24:57.9,23423.609,330,,,00:00.1,,,
24:58.0,23337.618,320,,,00:00.1,,,
24:58.1,23253.469,330,,,00:00.1,,,
24:58.2,23095.262,310,,,00:00.1,,,
24:58.3,23000.324,334,,,00:00.1,,,
24:58.4,22918.44,308,,,00:00.1,,,
24:58.5,22837.951,315,,,00:00.1,,,
24:58.6,22688.477,298,,,00:00.1,,,
24:58.7,22594.687,325,,,00:00.1,,,
24:58.8,22447.244,317,,,00:00.1,,,
24:58.9,22352.542,371,,,00:00.1,,,
24:59.0,22207.866,327,,,00:00.1,,,
24:59.1,22114.997,344,,,00:00.1,,,
24:59.2,22037.542,337,,,00:00.1,,,
24:59.3,21891.501,317,,,00:00.1,,,
24:59.4,21743.746,303,,,00:00.1,,,
24:59.5,21603.588,325,,,00:00.1,,,
24:59.6,21516.65,352,,,00:00.1,,,
24:59.7,21439.652,334,,,00:00.1,,,
24:59.8,21304.643,313,,,00:00.1,,,
24:59.9,21164.104,320,,,00:00.1,,,
25:00.0,21081.592,310,,,00:00.1,,,
25:00.1,20957.753,344,,,00:00.1,,,
25:00.2,20877.57,313,,,00:00.1,,,
25:00.3,20751.464,349,,,00:00.1,,,
25:00.4,20728.41,310,,,00:00.1,,,
25:00.5,20665.807,315,,,00:00.1,,,
25:00.6,20543.642,344,,,00:00.1,,,
25:00.7,20416.246,315,,,00:00.1,,,
25:00.8,20339.101,371,,,00:00.1,,,
25:00.9,20270.422,320,,,00:00.1,,,
25:01.0,20207.606,344,,,00:00.1,,,
25:01.1,20140.364,332,,,00:00.1,,,
25:01.2,20027.745,356,,,00:00.1,,,
25:01.3,19954.55,344,,,00:00.1,,,
25:01.4,19832.526,315,,,00:00.1,,,
25:01.5,19713.748,361,,,00:00.1,,,
25:01.6,19643.923,330,,,00:00.1,,,
25:01.7,19530.666,310,,,00:00.1,,,
25:01.8,19512.89,337,,,00:00.1,,,
25:01.9,19410.41,347,,,00:00.1,,,
25:02.0,19346.739,352,,,00:00.1,,,
25:02.1,19286.188,325,,,00:00.1,,,
25:02.2,19176.551,308,,,00:00.1,,,
25:02.3,19107.846,347,,,00:00.1,,,
25:02.4,19003.524,315,,,00:00.1,,,
25:02.5,18941.448,352,,,00:00.1,,,
25:02.6,18928.629,344,,,00:00.1,,,
25:02.7,18831.993,313,,,00:00.1,,,
25:02.8,18769.795,339,,,00:00.1,,,
25:02.9,18664.563,325,,,00:00.1,,,
25:03.0,18606.06,300,,,00:00.1,,,
25:03.1,18551.918,347,,,00:00.1,,,
25:03.2,18493.384,310,,,00:00.1,,,
25:03.3,18394.979,322,,,00:00.1,,,
25:03.4,18292.168,334,,,00:00.1,,,
25:03.5,18227.972,352,,,00:00.1,,,
25:03.6,18131.869,342,,,00:00.1,,,
25:03.7,18071.102,313,,,00:00.1,,,
25:03.8,18020.23,303,,,00:00.1,,,
25:03.9,17971.828,310,,,00:00.1,,,
25:04.0,17960.923,356,,,00:00.1,,,
25:04.1,17918.206,317,,,00:00.1,,,
25:04.2,17825.605,303,,,00:00.1,,,
25:04.3,17769.544,308,,,00:00.1,,,
25:04.4,17678.881,344,,,00:00.1,,,
25:04.5,17620.138,325,,,00:00.1,,,
25:04.6,17567.254,308,,,00:00.1,,,
25:04.7,17478.267,313,,,00:00.1,,,
25:04.8,17423.125,313,,,00:00.1,,,
25:04.9,17332.652,317,,,00:00.1,,,
25:05.0,17281.547,315,,,00:00.1,,,
25:05.1,17233.088,342,,,00:00.1,,,
25:05.2,17182.453,300,,,00:00.1,,,
25:05.3,17100.196,315,,,00:00.1,,,
25:05.4,17011.443,327,,,00:00.1,,,
25:05.5,16960.707,310,,,00:00.1,,,
25:05.6,16911.681,317,,,00:00.1,,,
25:05.7,16863.405,330,,,00:00.1,,,
25:05.8,16818.039,315,,,00:00.1,,,
25:05.9,16739.468,322,,,00:00.1,,,
25:06.0,16688.949,313,,,00:00.1,,,
25:06.1,16643.369,342,,,00:00.1,,,
25:06.2,16563.841,352,,,00:00.1,,,
25:06.3,16513.638,330,,,00:00.1,,,
25:06.4,16469.8,344,,,00:00.1,,,
25:06.5,16423.197,322,,,00:00.1,,,
25:06.6,16345.937,352,,,00:00.1,,,
25:06.7,16298.815,315,,,00:00.1,,,
25:06.8,16220.933,347,,,00:00.1,,,
25:06.9,16142.715,352,,,00:00.1,,,
25:07.0,16093.742,327,,,00:00.1,,,
25:07.1,16018.644,356,,,00:00.1,,,
25:07.2,16005.452,315,,,00:00.1,,,
25:07.3,15938.716,339,,,00:00.1,,,
