BBB Time,Mag Vals,Lamor,,,
08:45.0,66407.844,400,,,0.115740741
08:45.1,66406.943,388,,,0.116898148
08:45.2,66406.583,388,,,0.115740741
08:45.3,66406.853,378,,,0.115740741
08:45.4,66408.895,376,,,0.115740741
08:45.5,66406.733,413,,,0.116898148
08:45.6,66406.974,371,,,0.115740741
08:45.7,66408.421,383,,,0.115740741
08:45.8,66409.135,400,,,0.115740741
08:45.9,66408.661,376,,,0.115740741
08:46.0,66408.745,408,,,0.116898148
08:46.1,66409.141,378,,,0.115740741
08:46.2,66409.682,378,,,0.115740741
08:46.3,66408.901,400,,,0.115740741
08:46.4,66410.102,393,,,0.115740741
08:46.5,66411.333,388,,,0.116898148
08:46.6,66410.973,388,,,0.115740741
08:46.7,66410.018,425,,,0.115740741
08:46.8,66411.333,425,,,0.115740741
08:46.9,66406.793,410,,,0.115740741
08:47.0,66410.642,371,,,0.116898148
08:47.1,66410.462,393,,,0.115740741
08:47.2,66412,374,,,0.115740741
08:47.3,66405.406,391,,,0.115740741
08:47.4,66410.799,410,,,0.115740741
08:47.5,66410.492,391,,,0.116898148
08:47.6,66411.519,383,,,0.115740741
08:47.7,66409.165,391,,,0.115740741
08:47.8,66408.601,417,,,0.115740741
08:47.9,66407.784,378,,,0.115740741
08:48.0,66407.184,391,,,0.116898148
08:48.1,66405.953,408,,,0.115740741
08:48.2,66405.226,383,,,0.115740741
08:48.3,66403.905,417,,,0.115740741
08:48.4,66403.425,381,,,0.115740741
08:48.5,66401.557,400,,,0.115740741
08:48.6,66400.65,425,,,0.116898148
08:48.7,66401.407,425,,,0.115740741
08:48.8,66399.546,378,,,0.115740741
08:48.9,66400.446,398,,,0.115740741
08:49.0,66401.1,386,,,0.115740741
08:49.1,66399.426,430,,,0.116898148
08:49.2,66396.411,383,,,0.115740741
08:49.3,66396.351,381,,,0.115740741
08:49.4,66396.621,383,,,0.115740741
08:49.5,66394.009,400,,,0.115740741
08:49.6,66392.202,420,,,0.116898148
08:49.7,66391.505,381,,,0.115740741
08:49.8,66382.967,381,,,0.115740741
08:49.9,66386.845,425,,,0.115740741
08:50.0,66385.908,405,,,0.115740741
08:50.1,66383.147,413,,,0.116898148
08:50.2,66380.949,413,,,0.115740741
08:50.3,66370.896,386,,,0.115740741
08:50.4,66375.652,410,,,0.115740741
08:50.5,66372.374,408,,,0.115740741
08:50.6,66367.647,400,,,0.116898148
08:50.7,66364.099,381,,,0.115740741
08:50.8,66360.611,405,,,0.115740741
08:50.9,66358.172,396,,,0.115740741
08:51.0,66353.626,378,,,0.115740741
08:51.1,66351.706,383,,,0.115740741
08:51.2,66351.217,388,,,0.116898148
08:51.3,66349.237,388,,,0.115740741
08:51.4,66344.961,425,,,0.115740741
08:51.5,66341.562,413,,,0.115740741
08:51.6,66338.284,408,,,0.115740741
08:51.7,66335.186,408,,,0.116898148
08:51.8,66329.739,359,,,0.115740741
08:51.9,66327.751,386,,,0.115740741
08:52.0,66321.824,369,,,0.115740741
08:52.1,66316.327,393,,,0.115740741
08:52.2,66307.053,378,,,0.116898148
08:52.3,66299.107,383,,,0.115740741
08:52.4,66292.671,396,,,0.115740741
08:52.5,66285.115,439,,,0.115740741
08:52.6,66280.639,400,,,0.115740741
08:52.7,66275.911,391,,,0.116898148
08:52.8,66269.805,417,,,0.115740741
08:52.9,66266.557,415,,,0.115740741
08:53.0,66267.636,422,,,0.115740741
08:53.1,66269.775,405,,,0.115740741
08:53.2,66274.281,376,,,0.116898148
08:53.3,66279.74,393,,,0.115740741
08:53.4,66284.426,410,,,0.115740741
08:53.5,66282.227,383,,,0.115740741
08:53.6,66280.519,388,,,0.115740741
